filename,label,filepath,distance,query_filename,query_label,feature_set
synth1_004.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_004.wav,6.423305410647805,synth1_001.wav,Synth1,classical
synth1_007.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_007.wav,6.820898663933069,synth1_001.wav,Synth1,classical
synth1_035.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_035.wav,7.29273276445038,synth1_001.wav,Synth1,classical
synth1_026.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_026.wav,7.3937408196401755,synth1_001.wav,Synth1,classical
synth1_020.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_020.wav,7.4470438626996485,synth1_001.wav,Synth1,classical
synth1_004.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_004.wav,12.484029755395943,synth1_001.wav,Synth1,encodec
synth1_018.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_018.wav,12.779337629801923,synth1_001.wav,Synth1,encodec
synth1_007.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_007.wav,13.26088308463046,synth1_001.wav,Synth1,encodec
synth1_024.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_024.wav,13.775260864623904,synth1_001.wav,Synth1,encodec
synth1_027.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_027.wav,14.276372475838578,synth1_001.wav,Synth1,encodec
synth1_004.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_004.wav,3.967878070275393,synth1_001.wav,Synth1,clap
synth1_007.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_007.wav,4.244793445907518,synth1_001.wav,Synth1,clap
synth1_032.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_032.wav,5.463044804125566,synth1_001.wav,Synth1,clap
synth1_026.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_026.wav,7.204333131090525,synth1_001.wav,Synth1,clap
synth1_014.wav,Synth1,/Users/martinsssssss/Desktop/SMC/Generative Algorithms for S&M/Part2/Final Project/techno-representation/data/music_radar/Synth1/synth1_014.wav,7.614915198105029,synth1_001.wav,Synth1,clap
